size, scan, compactWithoutScan, compactWithScan
0, 0.018390, 0.017990, 0.062040
1, 0.036900, 0.036660, 0.125410
2, 0.056000, 0.056050, 0.191390
3, 0.075810, 0.077990, 0.260930
4, 0.098610, 0.103510, 0.342300
5, 0.130480, 0.136290, 0.460860
6, 0.176600, 0.193570, 0.614170
7, 0.249980, 0.288220, 0.837180
8, 0.379200, 0.451990, 1.180500
9, 0.595360, 0.787670, 1.739130
10, 1.010410, 1.459940, 2.873860
11, 1.808420, 2.799750, 4.983760
12, 3.382930, 5.454100, 9.189020
13, 6.617830, 10.682090, 17.652109
14, 13.106260, 20.930850, 34.538570
15, 26.239680, 41.440238, 95.065141
16, 53.197820, 82.259148, 232.273063
17, 106.942953, 163.591766, 524.566375
18, 214.327141, 326.009719, 1154.182750
19, 444.831375, 655.437125, 2664.925000
block size, naive::scan, efficient::scan, efficient::compact, thrust::scan
2, 1.653706, 3.275751, 3.377140, 0.149708
3, 0.868973, 1.679395, 1.735914, 0.154134
4, 0.474548, 0.891957, 0.926928, 0.155243
5, 0.268520, 0.502705, 0.531410, 0.158484
6, 0.156136, 0.404647, 0.434957, 0.164572
7, 0.144736, 0.393489, 0.413897, 0.166069
8, 0.145956, 0.393555, 0.414129, 0.170372
9, 0.147912, 0.393687, 0.411637, 0.174212
10, 0.163202, 0.407150, 0.423524, 0.180073
