block size, naive::scan, efficient::scan, efficient::compact, thrust::scan
4, 0.019901, 0.032131, 0.042268, 0.014861
5, 0.022966, 0.039091, 0.048816, 0.013974
6, 0.026545, 0.046097, 0.055637, 0.013844
7, 0.029734, 0.052625, 0.062891, 0.014107
8, 0.032616, 0.059878, 0.069612, 0.013777
9, 0.035588, 0.066927, 0.077829, 0.014007
10, 0.039123, 0.074742, 0.085684, 0.013909
11, 0.042336, 0.084190, 0.094274, 0.017210
12, 0.049155, 0.093326, 0.103361, 0.018924
13, 0.051340, 0.112999, 0.124146, 0.025679
14, 0.066044, 0.153436, 0.166579, 0.040478
15, 0.092430, 0.233036, 0.248662, 0.040362
16, 0.145964, 0.397543, 0.418071, 0.049354
17, 0.249689, 0.733529, 0.763885, 0.072880
18, 0.521292, 1.435356, 1.482930, 0.095224
19, 1.806152, 3.125029, 3.233285, 0.178910
